"ID","title","details","credit"
"d1172S2012","Pollard Willow","pencil brown ink watercolour chalk on paper 38 cm x 558 cm","Credits obliged to state Van Gogh Museum Amsterdam purchased with support from the BankGiro Loterij the Vincent van Gogh Foundation the Rembrandt Association and her Prints and Drawings Fund the Mondriaan Fund and the VSB Foundation"
"s0001V1962","Birds Nests","oil on canvas 393 cm x 465 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0002V1962","The Old Church Tower at Nuenen The Peasants Churchyard","oil on canvas 65 cm x 80 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0003V1962","Congregation Leaving the Reformed Church in Nuenen","oil on canvas 415 cm x 322 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0004V1962r","Head of a Woman","oil on canvas 435 cm x 362 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0004V1962v","Allotment with Sunflower","oil on canvas 432 cm x 362 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0006V1962","Head of a Woman","oil on canvas 432 cm x 300 cm x 22 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0007V1962","Woman Sewing","oil on canvas 432 cm x 342 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0008V1962","Still Life with Bible","oil on canvas 657 cm x 785 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0009V1962","Vase with Honesty","oil on canvas 427 cm x 317 cm x 20 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0010V1962","Portrait of an Old Woman","oil on canvas 505 cm x 398 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0011V1962","Shoes","oil on canvas 381 cm x 453 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0012V1962","The Hill of Montmartre with Stone Quarry","oil on canvas 563 cm x 626 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0013V1962","View of Paris","oil on canvas 539 cm x 728 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0014V1962","Impasse des Deux Freres","oil on canvas 350 cm x 655 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0015V1962","Montmartre Windmills and Allotments","oil on canvas 452 cm x 814 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0016V1962","SelfPortrait with Grey Felt Hat","oil on cotton 445 cm x 372 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0017V1962","In the Cafe Agostina Segatori in Le Tambourin","oil on canvas 555 cm x 47 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0018V1962","Montmartre Behind the Moulin de la Galette","oil on canvas 81 cm x 100 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0020V1962","Carafe and Dish with Citrus Fruit","oil on canvas 463 cm x 384 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0021V1962","Piles of French Novels","oil on canvas 544 cm x 736 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0023V1962","Quinces Lemons Pears and Grapes","oil on canvas","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0024V1962","The White Orchard","oil on canvas 60 cm x 81 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0025V1962","The Pink Peach Tree","oil on canvas 809 cm x 602 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0026V1962","The Pink Orchard","oil on canvas 650 cm x 810 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0028V1962","Fishing Boats on the Beach at Les SaintesMariesdelaMer","oil on canvas 65 cm x 815 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0030V1962","The Harvest","oil on canvas 734 cm x 918 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0033V1962","Field with Poppies","oil on canvas 24 cm x 35 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0034V1962","Farmhouse in a Wheatfield","oil on canvas 453 cm x 509 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0035V1962","Peach Tree in Blossom","oil on canvas 50 cm x 375 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0036V1962","Orchards in Blossom View of Arles","oil on canvas 535 cm x 655 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0037V1962","Field with Irises near Arles","oil on canvas 54 cm x 65 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0038V1962","Orchard in Blossom","oil on canvas 732 cm x 931 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0039V1962","Small Pear Tree in Blossom","oil on canvas 736 cm x 463 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0040V1962","Ploughed Fields The Furrows","oil on canvas 725 cm x 925 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0041V1962","Entrance to a Quarry","oil on canvas 60 cm x 745 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0042V1962","The Sheepshearer after Millet","oil on canvas 436 cm x 295 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0043V1962","Peasant Woman Bruising Flax after Millet","oil on canvas 40 cm x 26 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0044V1962","Olive Grove","oil on canvas 455 cm x 591 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0045V1962","Olive Grove","oil on canvas 73 cm x 92 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0046V1962","The Garden of Saint Pauls Hospital LeafFall","oil on canvas 738 cm x 608 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0048V1962","Gauguins Chair","oil on canvas 905 cm x 727 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0051V1962","Undergrowth","oil on canvas 730 cm x 923 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0052V1962","Still Life with Brass Cauldron and Jug","oil on canvas 655 cm x 805 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0053V1962","Cottages","oil on canvas 354 cm x 557 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0054V1962","Bobbin Winder","oil on canvas 340 cm x 443 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0055V1962","By the Seine","oil on canvas 494 cm x 653 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0056V1962","Torso of Venus","oil on cardboard 460 cm x 380 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0057V1962","View from Theos Apartment","oil on canvas 459 cm x 381 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0058V1962","Woman with a Mourning Shawl","oil on canvas 455 cm x 330 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0059V1962","Head of a Prostitute","oil on canvas 352 cm x 244 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0060V1962r","Still Life with Bottles and Earthenware","oil on canvas 315 cm x 418 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0060V1962v","SelfPortrait with Straw Hat","oil on canvas 418 cm x 315 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0061V1962","Portrait of an Old Man","oil on canvas 444 cm x 337 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0062V1962","Head of a Woman","oil on canvas on triplex 422 cm x 348 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0063V1962","Basket of Hyacinth Bulbs","oil on panel 312 cm x 483 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0064V1962","The Hill of Montmartre with Stone Quarry","oil on canvas 320 cm x 410 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0065V1962","SelfPortrait","oil on cardboard 41 cm x 33 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0066V1962","Trees and Undergrowth","oil on canvas 462 cm x 552 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0067V1962","The Zouave","oil on canvas 658 cm x 557 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0068V1962r","Head of a Man","oil on canvas 425 cm x 321 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0068V1962v","SelfPortrait with Straw Hat and Pipe","oil on canvas 425 cm x 321 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0069V1962","Head of a Man","oil on canvas 377 cm x 295 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0070V1962","Still Life with Vegetables and Fruit","oil on canvas 323 cm x 432 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0071V1962r","Birds Nests","oil on canvas 313 cm x 432 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0071V1962v","SelfPortrait","oil on canvas 432 cm x 313 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0072V1962","Head of a Woman","oil on canvas 420 cm x 333 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0073V1962","Woman Winding Yarn","oil on canvas 405 cm x 317 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0074V1962","Portrait of a Woman","oil on canvas 323 cm x 220 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0075V1962","Plaster Cast of a Womans Torso","oil on cardboard 329 cm x 240 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0077V1962","Bank of the Seine","oil on canvas 320 cm x 460 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0078V1962","Trees","oil on canvas 465 cm x 380 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0079V1962","Undergrowth","oil on canvas 460 cm x 380 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0080V1962","Path in the Woods","oil on canvas 453 cm x 377 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0081V1962","Portrait of a Man","oil on canvas 322 cm x 233 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0082V1962","Red Cabbages and Onions","oil on canvas 502 cm x 643 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0083V1962","Head of a Skeleton with a Burning Cigarette","oil on canvas 323 cm x 248 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0084V1962","Head of a Woman","oil on canvas 438 cm x 300 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0085V1962","The De Ruijterkade in Amsterdam","oil on panel 205 cm x 271 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0086V1962","The Bridge at Courbevoie","oil on canvas 321 cm x 405 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0087V1962","The Cottage","oil on canvas 657 cm x 793 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0088V1962","Ears of Wheat","oil on canvas 64 cm x 48 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0089V1962","Torso of Venus","oil on cardboard 464 cm x 381 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0090V1962","Nude Girl Seated","oil on canvas 271 cm x 235 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0091V1962","Portrait of a Woman","oil on canvas 273 cm x 191 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0092V1962","Path in Montmartre","oil on cardboard 222 cm x 163 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0093V1962","Portrait of Agostina Segatori","oil on canvas 272 cm x 220 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0094V1962","Boulevard de Clichy","oil on canvas 46 cm x 555 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0095V1962","View from Vincents Studio","oil on cardboard 301 cm x 408 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0096V1962","Beer Tankards","oil on canvas 315 cm x 425 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0097V1962r","Head of a Woman","oil on canvas 422 cm x 345 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0097V1962v","SelfPortrait","oil on canvas 422 cm x 345 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0098V1962","Square SaintPierre at Sunset","oil on canvas on cardboard 330 cm x 420 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0099V1962","Landscape with Rabbits","oil on canvas 327 cm x 406 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0100V1962","Kingfisher by the Waterside","oil on canvas 266 cm x 191 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0101V1962","Torso of Venus","oil on cardboard 353 cm x 271 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0102V1962","Kneeling Ecorche","oil on cardboard 352 cm x 268 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0103V1962","Male Torso","oil on cardboard 350 cm x 270 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0104V1962","Daubignys Garden","oil on canvas 51 cm x 512 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0105V1962","View of Auvers","oil on canvas 502 cm x 525 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0107V1962","Landscape at Twilight","oil on canvas 502 cm x 101 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0108V1962","Farmhouse","oil on canvas 389 cm x 464 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0109V1962","Vase of Flowers","oil on canvas 422 cm x 290 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0110V1962","Garden with Butterflies","oil on canvas 548 cm x 457 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0111V1962","Undergrowth","oil on canvas 490 cm x 643 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0112V1962","Reminiscence of Brabant","oil on canvas on panel 294 cm x 365 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0113V1962","Portrait of a OneEyed Man","oil on canvas 565 cm x 366 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0114V1962","Bridge in the Rain after Hiroshige","oil on canvas 733 cm x 538 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0115V1962","Flowering Plum Orchard after Hiroshige","oil on canvas 556 cm x 468 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0116V1962","Courtesan after Eisen","oil on cotton 1007 cm x 607 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0117V1962","Seascape near Les SaintesMariesdelaMer","oil on canvas 505 cm x 643 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0118V1962","Ravine with a Small Stream","oil on canvas 322 cm x 415 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0119V1962","View of a Butchers Shop","oil on canvas on cardboard 397 cm x 331 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0120V1962","A Pair of Leather Clogs","oil on canvas 322 cm x 405 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0121V1962","Sunflowers Gone to Seed","oil on cotton 212 cm x 271 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0122V1962","Prawns and Mussels","oil on canvas 265 cm x 348 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0123V1962","Skull","oil on canvas 424 cm x 304 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0124V1962","A Crab on its Back","oil on canvas 380 cm x 468 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0125V1962","Portrait of EtienneLucien Martin","oil on canvas 658 cm x 545 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0126V1962","Horse Chestnut Tree in Blossom","oil on canvas 558 cm x 465 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0127V1962","Shoes","oil on cardboard 327 cm x 408 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0128V1962","Skull","oil on canvas 407 cm x 305 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0129V1962","Women on the Peat Moor","oil on canvas 278 cm x 365 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0130V1962","Farm with Stacks of Peat","oil on canvas 375 cm x 550 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0131V1962","Apples","oil on canvas 457 cm x 604 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0132V1962","Head of a Woman","oil on canvas 388 cm x 313 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0133M1970","Sunset in Montmartre","oil on canvas 215 cm x 464 cm","Credits Van Gogh Museum Amsterdam"
"s0134V1962","Exterior of a Restaurant in Asnieres","oil on canvas 188 cm x 270 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0135V1962r","Study for The Potato Eaters","oil on canvas 336 cm x 445 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0135V1962v","SelfPortrait","oil on canvas 445 cm x 336 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0136V1973","Flying Fox","oil on canvas 415 cm x 790 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0137V1962","Still Life with Cabbage and Clogs","oil on paper on panel 34 cm x 55 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0138V1962","Still Life with Earthenware and Bottles","oil on canvas 401 cm x 563 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0139V1962","Head of a Woman","oil on canvas 427 cm x 335 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0140V1962","The Vicarage at Nuenen","oil on canvas 332 cm x 43 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0141M1977","Avenue of Poplars in Autumn","oil on canvas on panel 99 cm x 657 cm","Credits obliged to state Van Gogh Museum Amsterdam purchased with support from the Vincent van Gogh Foundation and the Rembrandt Association"
"s0142V1962","Houses Seen from the Back","oil on canvas 437 cm x 337 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0143V1962","Portrait of a Prostitute","oil on canvas 463 cm x 385 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0144V1962","Vase with Gladioli and Chinese Asters","oil on canvas 465 cm x 384 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0145V1962","An Old Woman of Arles","oil on canvas 58 cm x 42 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0146V1962","Wheatfield","oil on canvas 54 cm x 65 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0147V1962","Cypresses and Two Women","oil on canvas on panel 435 cm x 272 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0148V1962","Olive Trees on a Hillside","oil on canvas 334 cm x 402 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0150V1962","Basket of Apples","oil on canvas 335 cm x 440 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0151V1962","Basket of Apples","oil on canvas 450 cm x 604 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0152V1962","Basket of Potatoes","oil on canvas 508 cm x 660 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0153V1962","Basket of Potatoes","oil on canvas 450 cm x 605 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0154V1962","Baskets of Potatoes","oil on canvas 650 cm x 785 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0155V1962","SelfPortrait","oil on cardboard 191 cm x 141 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0156V1962","SelfPortrait","oil on cardboard 190 cm x 141 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0157V1962","SelfPortrait or Portrait of Theo van Gogh","oil on cardboard 190 cm x 141 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0158V1962","SelfPortrait with Pipe","oil on canvas 460 cm x 380 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0159V1962","SelfPortrait","oil on canvas 272 cm x 190 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0160V1962","SelfPortrait as a Painter","oil on canvas 465 cm x 385 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0161V1962","SelfPortrait with Glass","oil on canvas 611 cm x 502 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0162V1962","SelfPortrait with Felt Hat","oil on canvas 415 cm x 325 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0163V1962","SelfPortrait with Pipe and Straw Hat","oil on canvas 419 cm x 301 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
